company_name,experience_required,job_description,job_title,keyskills,link_job_description,location,posted_by,salary
Pearson India Education Services Private Limited,1-2 yrs,"Building and iterating reports (with eventual design collaboration) based around a large volume of data, ...",Data Analyst,"data integrity, data analysis, data conversion, data management...",https://www.naukri.com/job-listings-Data-Analyst-Pearson-India-Education-Services-Private-Limited-Noida-1-to-2-years-070818004544?src=jobsearchDesk&sid=15389014482083&xp=35&px=1,Noida,  Samrat Mitra  ,  Not disclosed 
REERACOEN INDIA PRIVATE LIMITED,4-9 yrs,"Dear Candidate, Greetings !  We are hiring for one of our client - Japanese MNC. ...",Manager-research and Data Analyst,"Data Analysis, Secondary Research, Primary, Data Management...",https://www.naukri.com/job-listings-Manager-research-and-Data-Analyst-REERACOEN-INDIA-PRIVATE-LIMITED-Delhi-NCR-4-to-9-years-260918000753?src=jobsearchDesk&sid=15389014482083&xp=36&px=1,Delhi NCR,  Vrinda Singhi  ,"    8,00,000 - 13,00,000 P.A.  "
,N/A,N/A,,N/A,N/A,N/A,,N/A
,N/A,N/A,,N/A,N/A,N/A,,N/A
Happyeasygo Travels Private Limited,2-4 yrs,N/A,Looking for Quality Analyst / Data Analyst,"data collection, Data Analysis, Advanced Excel, Data Analytics...",https://www.naukri.com/job-listings-Looking-for-Quality-Analyst-Data-Analyst-Happyeasygo-Travels-Private-Limited-Gurgaon-2-to-4-years-100718002621?src=jobsearchDesk&sid=15389014482083&xp=37&px=1,Gurgaon,  RITU  ,"    2,75,000 - 5,50,000 P.A.  "
CT Software Solutions (India) private limited,2-5 yrs,"12.	Proficient in using statistical packages for analysing datasets (Excel, SSIS, etc. ...",Sr. Data Analyst/ Analytics and Data Entry Operators,"Data Entry, Data Processing, MS Office, XML, Excel, Back Office, SQL...",https://www.naukri.com/job-listings-Sr-Data-Analyst-Analytics-and-Data-Entry-Operators-CT-Software-Solutions-India-private-limited-Gurgaon-2-to-5-years-050918901253?src=jobsearchDesk&sid=15389014482083&xp=38&px=1,Gurgaon,  HR  ,  Not disclosed 
Gauge Data Solutions Pvt Ltd,2-4 yrs,Previous experience with industry in text analytics projects;Extensive experience in at least one of the ...,Data Analyst/ Data Scientist,"data scientist, data analytics, Data Analyst, Python...",https://www.naukri.com/job-listings-Data-Analyst-Data-Scientist-Gauge-Data-Solutions-Pvt-Ltd-Greater-Noida-Noida-Sector-132-Noida-2-to-4-years-210818001305?src=jobsearchDesk&sid=15389014482083&xp=39&px=1,"Greater Noida, Noida(Sector-132 Noida)",  Divi Singh  ,"    8,00,000 - 10,00,000 P.A. Commensurate with the experie...  "
Amanzi Technologies Pvt Ltd,1-3 yrs,N/A,"Opening for Data Analyst with US Based  Start up Company, Noida","statistics, statistical modelling, statistical analytics, Data Analysis...",https://www.naukri.com/job-listings-Opening-for-Data-Analyst-with-US-Based-Start-up-Company-Noida-Amanzi-Technologies-Pvt-Ltd-Delhi-NCR-1-to-3-years-240918001134?src=jobsearchDesk&sid=15389014482083&xp=40&px=1,Delhi NCR,  Amanzi Technologies  ,"    5,00,000 - 11,00,000 P.A.  "
Reliance Spices Pvt Ltd,1-5 yrs,N/A,Data Analyst,"Data Analysis, Data Analytics, Data Collection, data recovery, data backup,...",https://www.naukri.com/job-listings-Data-Analyst-Reliance-Spices-Pvt-Ltd-Delhi-NCR-Chandigarh-Jaipur-1-to-5-years-200718004071?src=jobsearchDesk&sid=15389014482083&xp=41&px=1,"Delhi NCR, Chandigarh, Jaipur",  Jaanvi Sangwan  ,"    4,00,000 - 8,00,000 P.A. Best In The Industry  "
gNxt Systems,1-5 yrs,You have 1-3 years of related experience in any industry;You have strong analytical skills (including ...,Data Analyst,"excel, data analysis, statistics, customer centric, Python, SQL",https://www.naukri.com/job-listings-Data-Analyst-gNxt-Systems-Noida-1-to-5-years-180918901174?src=jobsearchDesk&sid=15389014482083&xp=42&px=1,Noida,  HR  ,  Not disclosed 
Prometric Testing Private Limited,2-3 yrs,- Should be able to clearly translate business requirements into technical and analytical requirements ...,Mega Walkin|| Data Analyst Required for a US Based MNC in Gurgaon,"data analysis, sas, base sas, advanced excel, mis reporting, sql, power bi",https://www.naukri.com/job-listings-Mega-Walkin-Data-Analyst-Required-for-a-US-Based-MNC-in-Gurgaon-Prometric-Testing-Private-Limited-Gurgaon-2-to-3-years-170918004940?src=jobsearchDesk&sid=15389014482083&xp=43&px=1,Gurgaon,  VASHIMA JAIN  ,"    5,00,000 - 7,00,000 P.A.  "
Decision Point,1-3 yrs,"- Experience and/or training in computer programming languages such as: SQL, SAS, R, Python;- Experience ...",Data Analyst,"SQL, Excel Powerpoint, R, VBA, MySQL, Python, Data Analysis...",https://www.naukri.com/job-listings-Data-Analyst-Decision-Point-Delhi-NCR-Gurgaon-1-to-3-years-130918900950?src=jobsearchDesk&sid=15389014482083&xp=44&px=1,"Delhi NCR, Gurgaon",  HR  ,  Not disclosed 
Decision Point,3-5 yrs,"Experience and/or training in computer programming languages such as: SQL, SAS, R;Experience in meeting ...",Data Analyst,"sql, excel powerpoint, vba, sas, data analysis, r, database administration,...",https://www.naukri.com/job-listings-Data-Analyst-Decision-Point-Gurgaon-3-to-5-years-120918901568?src=jobsearchDesk&sid=15389014482083&xp=45&px=1,Gurgaon,  HR  ,  Not disclosed 
Quality Council Of India,2-5 yrs,- Must have Analytical/problem solving ability;Experience in framework designing and strategy;- Hands on ...,Data Analyst,"Excel, HLOOKUP, VLOOKUP, Data Extraction, Statistical Analysis, STATA, Data...",https://www.naukri.com/job-listings-Data-Analyst-Quality-Council-Of-India-Delhi-NCR-2-to-5-years-070918001327?src=jobsearchDesk&sid=15389014482083&xp=46&px=1,Delhi NCR,  Pooja Gupta  ,"    3,25,000 - 7,00,000 P.A.  "
Sanjeo Technologies,0-4 yrs,N/A,Data Analyst,"powerpoint, word, publishing, data analysis, excel, sql, sas, spss, vba, ms...",https://www.naukri.com/job-listings-Data-Analyst-Sanjeo-Technologies-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Kolkata-Chandigarh-Indore-Jaipur-0-to-4-years-030918004188?src=jobsearchDesk&sid=15389014482083&xp=47&px=1,"Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Kolkata, Chandigarh, Indore, Jaipur",  Sanjana Singh  ,"    4,25,000 - 9,25,000 P.A. Best in Industries  "
KartRocket,3-4 yrs,Experience in direct marketing campaign analysis and reporting;Experience in data-driven problem ...,Marketing / Data Analyst,"Data Analyst, Data Analysis, Report automation, Web Analytics...",https://www.naukri.com/job-listings-Marketing-Data-Analyst-KartRocket-Delhi-3-to-4-years-180918004187?src=jobsearchDesk&sid=15389014482083&xp=48&px=1,Delhi,  HR  ,  Not disclosed 
Gartner India Research & Advisory Services Pvt Ltd,0-4 yrs,N/A,Power BI - Data Analyst,"Data Quality, Email Marketing, Data Analysis, Power Bi, SQL Queries...",https://www.naukri.com/job-listings-Power-BI-Data-Analyst-Gartner-India-Research-Advisory-Services-Pvt-Ltd-Gurgaon-0-to-4-years-170918901009?src=jobsearchDesk&sid=15389014482083&xp=49&px=1,Gurgaon,  HR  ,  Not disclosed 
Optum Global Solutions (India) Private Limited,5-8 yrs,"5+ years of experience in SPARK, MARP and TWS and SSMO;Experience with Analysis, Design, Development, ...","Senior Data Analyst - ( Spark, MARP )","Core Java, Spring Mvc, JSP Servlets, SOAP, Spring Framework, J2Ee, Wso2...",https://www.naukri.com/job-listings-Senior-Data-Analyst-Spark-MARP-Optum-Global-Solutions-India-Private-Limited-Gurgaon-5-to-8-years-100918900096?src=jobsearchDesk&sid=15389014482083&xp=50&px=1,Gurgaon,  HR  ,  Not disclosed 
